Wall time,Step,Value
1684203735.7321815,108176,9.043827958521433e-06
1684204131.4341264,109187,9.227150258084293e-06
1684204527.2180362,110198,9.294158189732116e-06
1684204920.8072193,111209,8.76496505952673e-06
1684205314.9229574,112220,8.705609616299625e-06
1684205709.7130642,113231,9.028070962813217e-06
1684206105.3987482,114242,8.718796379980631e-06
1684206501.2329493,115253,9.029186912812293e-06
1684206895.5519788,116264,8.592263839091174e-06
1684207289.762074,117275,8.691292350704316e-06
1684207683.864785,118286,8.701698789082002e-06
1684208078.279521,119297,8.334826816280838e-06
1684208471.3815317,120308,8.530339982826263e-06
1684208866.8342266,121319,8.87987971509574e-06
1684209260.7478333,122330,8.58071416587336e-06
1684209655.8430812,123341,8.654905286675785e-06
1684210049.5499732,124352,8.295461157104e-06
1684210442.7994542,125363,8.845859156281222e-06
1684210837.2529693,126374,8.482680641463958e-06
1684211230.070403,127385,8.514428373018745e-06
1684211624.2284007,128396,8.703845196578186e-06
1684212019.1760786,129407,8.37373318063328e-06
1684212412.312487,130418,8.132369657687377e-06
1684212809.991252,131429,8.548700861865655e-06
1684213205.430656,132440,8.138494195009116e-06
1684213601.319177,133451,8.131030881486367e-06
1684213995.341926,134462,8.169476132025011e-06
1684214390.5994096,135473,8.386769877688494e-06
1684214785.8904848,136484,8.469161002722103e-06
1684215182.329476,137495,8.21589128463529e-06
1684215577.5197685,138506,8.332431207236368e-06
1684215971.9137363,139517,8.095777957350947e-06
1684216367.0979655,140528,7.940196155686863e-06
1684216762.3159373,141539,7.878088581492193e-06
1684217156.62215,142550,8.013584192667622e-06
1684217550.7124326,143561,7.98322980699595e-06
1684217946.0365405,144572,8.005958079593256e-06
1684218339.644824,145583,7.806035682733636e-06
1684218734.515066,146594,8.032143341552e-06
1684219130.9901001,147605,7.783339242450893e-06
1684219526.6023884,148616,7.85959855420515e-06
1684219921.6505563,149627,7.975992957653943e-06
1684220318.0468364,150638,7.99379722593585e-06
1684220714.1502922,151649,7.856014235585462e-06
1684221114.2014985,152660,8.39691983856028e-06
1684221513.1925566,153671,8.227637408708688e-06
1684221911.7573678,154682,7.857807759137359e-06
1684222307.2155623,155693,7.701888534938917e-06
1684222701.4451463,156704,7.77761306380853e-06
1684223096.0198576,157715,7.50537401472684e-06
1684223489.873034,158726,7.507813279516995e-06
1684223884.5553527,159737,7.766350790916476e-06
1684224279.2289884,160748,7.6045157584303524e-06
1684224673.5877998,161759,7.603721314808354e-06
1684225067.283254,162770,7.488323717552703e-06
1684225462.0691345,163781,7.467871455446584e-06
1684225856.9029706,164792,7.233257747429889e-06
1684226251.4177322,165803,7.5604530138662085e-06
1684226644.907994,166814,7.431499852827983e-06
1684227038.475553,167825,7.443792128469795e-06
1684227432.4037223,168836,7.606671260873554e-06
1684227826.5140717,169847,7.30880628907471e-06
1684228221.4842057,170858,7.351354270213051e-06
1684228616.276658,171869,7.271834419952938e-06
1684229010.2548318,172880,7.394474778266158e-06
1684229404.7497191,173891,7.351221483986592e-06
1684229798.4023523,174902,7.2894208642537706e-06
1684230193.086397,175913,7.46380146665615e-06
1684230587.0293505,176924,7.4016338658111636e-06
1684230980.786698,177935,7.389440270344494e-06
1684231375.1689835,178946,7.3498936217220034e-06
1684231769.5222306,179957,7.206465852505062e-06
1684232163.9231112,180968,7.059104063955601e-06
1684232558.3447862,181979,6.966251476114849e-06
1684232956.7511034,182990,7.1742883847036865e-06
1684233354.7070534,184001,7.211388947325759e-06
1684233754.137682,185012,7.3156638791260775e-06
1684234153.5176566,186023,7.060667485347949e-06
1684234550.9397361,187034,7.127094249881338e-06
1684234948.1974244,188045,7.083892796799773e-06
